Listing,Make,Year_model,Price,Milage,Exterior_color,Interior_color,Transmission,Drivetrain
2017 Volkswagen Golf TSI Wolfsburg Edition 4-Door,Volkswagen,2017,"$11,995","33,311",White,Black,Manual,FWD
2016 Hyundai Tucson Sport,Hyundai,2016,"$14,750","43,013",White,Beige,Automatic,AWD
2019 Honda Civic Type R Touring,Honda,2019,"$32,994","6,760",Black,Black,Manual,FWD
2012 FIAT 500C Pop,FIAT,2012,"$10,990","9,773",Silver,Black,Manual,FWD
2014 Chevrolet Spark EV 2LT,Chevrolet,2014,"$10,990","20,356",Black,Blue,Automatic,FWD
2016 FIAT 500X Easy,FIAT,2016,"$14,490","28,257",Brown,Black,Automatic,AWD
2016 Scion iM Base,Scion,2016,"$12,790","53,543",Silver,Black,CVT,FWD
2019 Lexus UX 200 200,Lexus,2019,"$28,906","4,764",Orange,Beige,CVT,FWD
2017 Kia Niro Touring,Kia,2017,"$17,809","31,966",Black,Black,Automatic,FWD
2017 Honda HR-V LX,Honda,2017,"$14,999","35,887",Black,Black,CVT,AWD
2005 INFINITI G35x Base,INFINITI,2005,"$3,990","134,592",White,Beige,Automatic,AWD
2010 Honda Accord Crosstour EX-L,Honda,2010,"$14,995","108,516",Red,Red,Automatic,4x4/4-wheel drive
2017 BMW X6 xDrive35i,BMW,2017,"$43,000","15,025",White,Black,Automatic,AWD
2016 Audi TT 2.0T,Audi,2016,"$30,500","9,472",Black,Black,Automatic,AWD
2013 Audi S7 4.0T Prestige quattro,Audi,2013,"$24,996","81,998",Silver,Black,Automatic,AWD
2005 Chrysler PT Cruiser GT,Chrysler,2005,"$5,705","67,653",Beige,Gray,Automatic,FWD
2018 Mercedes-Benz AMG CLA 45 Base 4MATIC,Mercedes-Benz,2018,"$37,124","16,754",Black,Black,Automatic,AWD
2019 Volkswagen Golf SportWagen 1.8T S,Volkswagen,2019,"$21,995","2,107",White,Black,Manual,AWD
2017 Genesis G80 3.8,Genesis,2017,"$25,314","33,223",Gray,Black,Automatic,AWD
2011 Toyota Avalon Limited,Toyota,2011,"$10,695","83,309",Red,White,Automatic,FWD
2018 RAM ProMaster 2500 High Roof,RAM,2018,"$31,900",27,White,Black,Automatic,FWD
2008 Saab 9-3 2.0T,Saab,2008,"$5,295","94,021",Red,Black,Manual,FWD
2019 Hyundai Elantra SEL,Hyundai,2019,"$13,888","18,732",Gray,Gray,Automatic,FWD
2020 Hyundai Palisade SEL,Hyundai,2020,"$40,888","3,308",Black,Gray,Automatic,AWD
2017 Porsche 718 Cayman S,Porsche,2017,"$52,900","14,047",Silver,Black,Automanual,RWD
2016 Jaguar XJ XJL Portfolio,Jaguar,2016,"$37,700","42,969",White,Other,Automatic,AWD
2019 Ford Transit-150 XLT,Ford,2019,"$30,996","16,159",White,Black,Automatic,RWD
2006 Hummer H2 SUT,Hummer,2006,"$17,500","120,972",Red,Black,Automatic,4x4/4-wheel drive
2003 Subaru Baja,Subaru,2003,"$7,990","114,695",Silver,Gray,Automatic,AWD
2010 MINI Cooper,MINI,2010,"$10,990","44,958",Black,Black,Automatic,FWD
2004 Lexus LX 470,Lexus,2004,"$21,990","71,375",White,Gray,Automatic,4x4/4-wheel drive
2009 BMW 128 i,BMW,2009,"$11,990","71,705",Black,Black,Manual,RWD
2019 Chrysler Pacifica Hybrid Limited,Chrysler,2019,"$34,987","7,734",White,Other,Automatic,FWD
2019 Honda Passport EX-L,Honda,2019,"$31,562","6,196",Gray,Gray,Automatic,AWD
2007 Cadillac XLR,Cadillac,2007,"$18,495","67,973",Silver,Beige,Automatic,RWD
2012 Nissan Maxima SV,Nissan,2012,"$9,900","99,566",White,Beige,CVT,FWD
2014 BMW 640 Gran Coupe i,BMW,2014,"$25,495","63,634",Red,White,Automatic,RWD
2018 RAM ProMaster 1500 Base,RAM,2018,"$20,000","39,966",White,Gray,Automatic,FWD
2019 Hyundai Tucson SE,Hyundai,2019,"$16,556","26,826",Red,Black,Automatic,AWD
2005 Saturn Ion 3,Saturn,2005,"$2,995","95,040",Green,Gray,Automatic,FWD
2009 BMW 128 i,BMW,2009,"$8,900","88,115",White,Gray,Manual,RWD
2007 Honda Odyssey EX,Honda,2007,"$6,975","45,200",Gold,Gray,Automatic,FWD
2010 Ford Ranger Sport,Ford,2010,"$9,995","33,000",Gray,Black,Automatic,4x4/4-wheel drive
2007 Toyota Camry Solara SE,Toyota,2007,"$7,995","69,652",Silver,Other,Automatic,FWD
2016 Kia Sedona SX-L,Kia,2016,"$19,576","49,979",Brown,Red,Automatic,FWD
2016 Kia Sorento LX,Kia,2016,"$12,987","61,828",Black,Other,Automatic,AWD
2004 Hummer H2,Hummer,2004,"$12,495","141,000",Red,Beige,Automatic,4x4/4-wheel drive
2019 Mazda CX-5 Grand Touring,Mazda,2019,"$25,500","13,405",Black,Black,Automatic,AWD
2003 Buick LeSabre Limited,Buick,2003,"$4,980","69,181",Gray,Gray,Automatic,FWD
2012 Nissan Juke SV,Nissan,2012,"$9,995","50,708",Black,Black,CVT,AWD
2019 Ford Fusion Hybrid Titanium,Ford,2019,"$17,928","37,657",White,Black,CVT,FWD
2011 Mercedes-Benz R 350 4MATIC,Mercedes-Benz,2011,"$14,777","85,410",Gray,Gray,Automatic,AWD
2017 Genesis G80 3.8,Genesis,2017,"$26,438","30,201",White,Gray,Automatic,AWD
2017 Lincoln MKC Select,Lincoln,2017,"$18,990","22,580",Black,Black,Automatic,AWD
2017 Hyundai Azera Base,Hyundai,2017,"$15,590","40,709",Silver,Black,Automatic,FWD
2018 Volvo XC90 Hybrid T8 Inscription,Volvo,2018,"$43,390","40,481",White,Brown,Automatic,AWD
2018 Volkswagen Atlas 3.6L SEL,Volkswagen,2018,"$31,995","5,405",White,Beige,Automatic,AWD
2006 Pontiac Solstice,Pontiac,2006,"$7,995","78,842",Silver,Black,Automatic,RWD
2019 Subaru Ascent Touring 7-Passenger,Subaru,2019,"$36,498","5,240",White,Brown,CVT,AWD
2019 Subaru Ascent Touring 7-Passenger,Subaru,2019,"$33,998","16,993",Black,Brown,CVT,AWD
2016 Subaru Legacy 3.6R Limited,Subaru,2016,"$16,498","30,592",Blue,White,CVT,AWD
2019 Subaru Ascent Premium 8-Passenger,Subaru,2019,"$30,498","12,127",White,Black,CVT,AWD
2019 Subaru Outback 2.5i Limited,Subaru,2019,"$25,498","8,623",Silver,Black,CVT,AWD
2019 Subaru Ascent Limited 8-Passenger,Subaru,2019,"$32,498","9,563",Gray,Black,CVT,AWD
2017 Subaru Legacy 2.5i Premium,Subaru,2017,"$14,998","15,601",Silver,Black,CVT,AWD
2016 Subaru Crosstrek Hybrid Touring,Subaru,2016,"$17,498","49,289",Blue,White,CVT,AWD
2019 Subaru Ascent Limited 7-Passenger,Subaru,2019,"$32,998","6,220",Black,Black,CVT,AWD
2018 Subaru Outback 3.6R Touring,Subaru,2018,"$25,498","8,822",White,Brown,CVT,AWD
2018 Volkswagen Golf SportWagen TSI SEL,Volkswagen,2018,"$18,995","13,928",Gray,Black,Automatic,FWD
2019 Subaru Ascent Limited 7-Passenger,Subaru,2019,"$31,498","8,873",Gray,Black,CVT,AWD
2012 Volvo C30 T5,Volvo,2012,"$7,199","103,675",Silver,Black,Automatic,FWD
2005 Buick LeSabre Custom,Buick,2005,"$1,500","99,000",Beige,Beige,Automanual,FWD
2011 Nissan Juke SL,Nissan,2011,"$9,399","48,757",Silver,Other,CVT,AWD
2014 Hyundai Veloster Base,Hyundai,2014,"$7,799","84,033",White,Black,Manual,FWD
2008 Jeep Liberty Limited,Jeep,2008,"$4,395","112,100",Gray,Gray,Automatic,4x4/4-wheel drive
2012 Chevrolet Equinox LS,Chevrolet,2012,"$8,999","76,432",White,Black,Automatic,AWD
2017 Audi TTS 2.0T quattro,Audi,2017,"$35,699","33,548",Gray,Black,Automatic,AWD
2003 Land Rover Discovery SE,Land,2003,"$17,898","82,907",Blue,Beige,Automatic,4x4/4-wheel drive
2014 Jeep Wrangler Sport,Jeep,2014,"$21,990","54,799",Red,Black,Manual,4x4/4-wheel drive
2010 Chrysler 300C 300S V8,Chrysler,2010,"$12,790","53,729",Black,Black,Automatic,RWD
2011 Nissan Versa 1.8 SL,Nissan,2011,"$4,695","113,723",Silver,Black,CVT,FWD
2013 Land Rover LR2 Base,Land,2013,"$13,099","71,171",Black,Black,Automatic,4x4/4-wheel drive
2004 Chevrolet SSR Base,Chevrolet,2004,"$16,989","84,043",Yellow,Black,Automatic,RWD
2016 Maserati Ghibli S Q4,Maserati,2016,"$31,990","33,612",Black,Other,Automatic,AWD
2014 Cadillac XTS Luxury,Cadillac,2014,"$12,999","82,729",Blue,Gray,Automatic,AWD
2015 Acura RLX Technology Package,Acura,2015,"$17,499","56,023",Gray,Gray,Automatic,FWD
2017 Hyundai Santa Fe Sport 2.4L,Hyundai,2017,"$17,997","25,824",Black,Gray,Automatic,AWD
2008 BMW Z4 3.0si,BMW,2008,"$15,000","78,733",Black,Black,Manual,RWD
2006 Volkswagen New Beetle 2.5,Volkswagen,2006,"$5,900","113,417",Beige,Beige,Automatic,FWD
2007 Jeep Commander Sport,Jeep,2007,"$4,500","175,174",Red,Gray,Automatic,4x4/4-wheel drive
2009 Cadillac DTS 1SE,Cadillac,2009,"$7,495","90,607",Black,Black,Automatic,FWD
2010 Ford Transit Connect XLT,Ford,2010,"$6,999","105,589",White,Gray,Automatic,FWD
2016 Hyundai Genesis 3.8,Hyundai,2016,"$27,900","13,854",Gray,White,Automatic,AWD
2008 Volvo S40 2.4i,Volvo,2008,"$5,499","105,037",Blue,Beige,Automatic,FWD
2014 Acura ILX 2.0L Technology,Acura,2014,"$12,697","58,240",White,Gray,Automatic,FWD
2014 Dodge Dart GT,Dodge,2014,"$10,697","52,285",Red,Black,Automatic,FWD
2019 Buick Enclave Essence,Buick,2019,"$29,721","24,677",White,Gray,Automatic,AWD
2019 Acura MDX Sport Hybrid 3.0L w/Technology Package,Acura,2019,"$35,911","33,177",White,Other,Automatic,AWD
2019 Buick Enclave Essence,Buick,2019,"$29,722","23,664",Gray,Gray,Automatic,AWD
2007 Chevrolet Cobalt LT,Chevrolet,2007,"$4,495","77,285",Red,Gray,Automatic,FWD
2017 Volkswagen Golf TSI Wolfsburg Edition 4-Door,Volkswagen,2017,"$11,995","33,311",White,Black,Manual,FWD
2016 Hyundai Tucson Sport,Hyundai,2016,"$14,750","43,013",White,Beige,Automatic,AWD
2019 Honda Civic Type R Touring,Honda,2019,"$32,994","6,760",Black,Black,Manual,FWD
2012 FIAT 500C Pop,FIAT,2012,"$10,990","9,773",Silver,Black,Manual,FWD
2014 Chevrolet Spark EV 2LT,Chevrolet,2014,"$10,990","20,356",Black,Blue,Automatic,FWD
2016 FIAT 500X Easy,FIAT,2016,"$14,490","28,257",Brown,Black,Automatic,AWD
2016 Scion iM Base,Scion,2016,"$12,790","53,543",Silver,Black,CVT,FWD
2019 Lexus UX 200 200,Lexus,2019,"$28,906","4,764",Orange,Beige,CVT,FWD
2017 Kia Niro Touring,Kia,2017,"$17,809","31,966",Black,Black,Automatic,FWD
2017 Honda HR-V LX,Honda,2017,"$14,999","35,887",Black,Black,CVT,AWD
2005 INFINITI G35x Base,INFINITI,2005,"$3,990","134,592",White,Beige,Automatic,AWD
2010 Honda Accord Crosstour EX-L,Honda,2010,"$14,995","108,516",Red,Red,Automatic,4x4/4-wheel drive
2017 BMW X6 xDrive35i,BMW,2017,"$43,000","15,025",White,Black,Automatic,AWD
2016 Audi TT 2.0T,Audi,2016,"$30,500","9,472",Black,Black,Automatic,AWD
2013 Audi S7 4.0T Prestige quattro,Audi,2013,"$24,996","81,998",Silver,Black,Automatic,AWD
2005 Chrysler PT Cruiser GT,Chrysler,2005,"$5,705","67,653",Beige,Gray,Automatic,FWD
2018 Mercedes-Benz AMG CLA 45 Base 4MATIC,Mercedes-Benz,2018,"$37,124","16,754",Black,Black,Automatic,AWD
2019 Volkswagen Golf SportWagen 1.8T S,Volkswagen,2019,"$21,995","2,107",White,Black,Manual,AWD
2017 Genesis G80 3.8,Genesis,2017,"$25,314","33,223",Gray,Black,Automatic,AWD
2011 Toyota Avalon Limited,Toyota,2011,"$10,695","83,309",Red,White,Automatic,FWD
2018 RAM ProMaster 2500 High Roof,RAM,2018,"$31,900",27,White,Black,Automatic,FWD
2008 Saab 9-3 2.0T,Saab,2008,"$5,295","94,021",Red,Black,Manual,FWD
2019 Hyundai Elantra SEL,Hyundai,2019,"$13,888","18,732",Gray,Gray,Automatic,FWD
2020 Hyundai Palisade SEL,Hyundai,2020,"$40,888","3,308",Black,Gray,Automatic,AWD
2017 Porsche 718 Cayman S,Porsche,2017,"$52,900","14,047",Silver,Black,Automanual,RWD
2016 Jaguar XJ XJL Portfolio,Jaguar,2016,"$37,700","42,969",White,Other,Automatic,AWD
2019 Ford Transit-150 XLT,Ford,2019,"$30,996","16,159",White,Black,Automatic,RWD
2006 Hummer H2 SUT,Hummer,2006,"$17,500","120,972",Red,Black,Automatic,4x4/4-wheel drive
2003 Subaru Baja,Subaru,2003,"$7,990","114,695",Silver,Gray,Automatic,AWD
2010 MINI Cooper,MINI,2010,"$10,990","44,958",Black,Black,Automatic,FWD
2004 Lexus LX 470,Lexus,2004,"$21,990","71,375",White,Gray,Automatic,4x4/4-wheel drive
2009 BMW 128 i,BMW,2009,"$11,990","71,705",Black,Black,Manual,RWD
2019 Chrysler Pacifica Hybrid Limited,Chrysler,2019,"$34,987","7,734",White,Other,Automatic,FWD
2019 Honda Passport EX-L,Honda,2019,"$31,562","6,196",Gray,Gray,Automatic,AWD
2007 Cadillac XLR,Cadillac,2007,"$18,495","67,973",Silver,Beige,Automatic,RWD
2012 Nissan Maxima SV,Nissan,2012,"$9,900","99,566",White,Beige,CVT,FWD
2014 BMW 640 Gran Coupe i,BMW,2014,"$25,495","63,634",Red,White,Automatic,RWD
2018 RAM ProMaster 1500 Base,RAM,2018,"$20,000","39,966",White,Gray,Automatic,FWD
2019 Hyundai Tucson SE,Hyundai,2019,"$16,556","26,826",Red,Black,Automatic,AWD
2005 Saturn Ion 3,Saturn,2005,"$2,995","95,040",Green,Gray,Automatic,FWD
2009 BMW 128 i,BMW,2009,"$8,900","88,115",White,Gray,Manual,RWD
2007 Honda Odyssey EX,Honda,2007,"$6,975","45,200",Gold,Gray,Automatic,FWD
2010 Ford Ranger Sport,Ford,2010,"$9,995","33,000",Gray,Black,Automatic,4x4/4-wheel drive
2007 Toyota Camry Solara SE,Toyota,2007,"$7,995","69,652",Silver,Other,Automatic,FWD
2016 Kia Sedona SX-L,Kia,2016,"$19,576","49,979",Brown,Red,Automatic,FWD
2016 Kia Sorento LX,Kia,2016,"$12,987","61,828",Black,Other,Automatic,AWD
2004 Hummer H2,Hummer,2004,"$12,495","141,000",Red,Beige,Automatic,4x4/4-wheel drive
2019 Mazda CX-5 Grand Touring,Mazda,2019,"$25,500","13,405",Black,Black,Automatic,AWD
2003 Buick LeSabre Limited,Buick,2003,"$4,980","69,181",Gray,Gray,Automatic,FWD
2012 Nissan Juke SV,Nissan,2012,"$9,995","50,708",Black,Black,CVT,AWD
2019 Ford Fusion Hybrid Titanium,Ford,2019,"$17,928","37,657",White,Black,CVT,FWD
2011 Mercedes-Benz R 350 4MATIC,Mercedes-Benz,2011,"$14,777","85,410",Gray,Gray,Automatic,AWD
2017 Genesis G80 3.8,Genesis,2017,"$26,438","30,201",White,Gray,Automatic,AWD
2017 Lincoln MKC Select,Lincoln,2017,"$18,990","22,580",Black,Black,Automatic,AWD
2017 Hyundai Azera Base,Hyundai,2017,"$15,590","40,709",Silver,Black,Automatic,FWD
2018 Volvo XC90 Hybrid T8 Inscription,Volvo,2018,"$43,390","40,481",White,Brown,Automatic,AWD
2018 Volkswagen Atlas 3.6L SEL,Volkswagen,2018,"$31,995","5,405",White,Beige,Automatic,AWD
2006 Pontiac Solstice,Pontiac,2006,"$7,995","78,842",Silver,Black,Automatic,RWD
2019 Subaru Ascent Touring 7-Passenger,Subaru,2019,"$36,498","5,240",White,Brown,CVT,AWD
2019 Subaru Ascent Touring 7-Passenger,Subaru,2019,"$33,998","16,993",Black,Brown,CVT,AWD
2016 Subaru Legacy 3.6R Limited,Subaru,2016,"$16,498","30,592",Blue,White,CVT,AWD
2019 Subaru Ascent Premium 8-Passenger,Subaru,2019,"$30,498","12,127",White,Black,CVT,AWD
2019 Subaru Outback 2.5i Limited,Subaru,2019,"$25,498","8,623",Silver,Black,CVT,AWD
2019 Subaru Ascent Limited 8-Passenger,Subaru,2019,"$32,498","9,563",Gray,Black,CVT,AWD
2017 Subaru Legacy 2.5i Premium,Subaru,2017,"$14,998","15,601",Silver,Black,CVT,AWD
2016 Subaru Crosstrek Hybrid Touring,Subaru,2016,"$17,498","49,289",Blue,White,CVT,AWD
2019 Subaru Ascent Limited 7-Passenger,Subaru,2019,"$32,998","6,220",Black,Black,CVT,AWD
2018 Subaru Outback 3.6R Touring,Subaru,2018,"$25,498","8,822",White,Brown,CVT,AWD
2018 Volkswagen Golf SportWagen TSI SEL,Volkswagen,2018,"$18,995","13,928",Gray,Black,Automatic,FWD
2019 Subaru Ascent Limited 7-Passenger,Subaru,2019,"$31,498","8,873",Gray,Black,CVT,AWD
2012 Volvo C30 T5,Volvo,2012,"$7,199","103,675",Silver,Black,Automatic,FWD
2005 Buick LeSabre Custom,Buick,2005,"$1,500","99,000",Beige,Beige,Automanual,FWD
2011 Nissan Juke SL,Nissan,2011,"$9,399","48,757",Silver,Other,CVT,AWD
2014 Hyundai Veloster Base,Hyundai,2014,"$7,799","84,033",White,Black,Manual,FWD
2008 Jeep Liberty Limited,Jeep,2008,"$4,395","112,100",Gray,Gray,Automatic,4x4/4-wheel drive
2012 Chevrolet Equinox LS,Chevrolet,2012,"$8,999","76,432",White,Black,Automatic,AWD
2017 Audi TTS 2.0T quattro,Audi,2017,"$35,699","33,548",Gray,Black,Automatic,AWD
2003 Land Rover Discovery SE,Land,2003,"$17,898","82,907",Blue,Beige,Automatic,4x4/4-wheel drive
2014 Jeep Wrangler Sport,Jeep,2014,"$21,990","54,799",Red,Black,Manual,4x4/4-wheel drive
2010 Chrysler 300C 300S V8,Chrysler,2010,"$12,790","53,729",Black,Black,Automatic,RWD
2011 Nissan Versa 1.8 SL,Nissan,2011,"$4,695","113,723",Silver,Black,CVT,FWD
2013 Land Rover LR2 Base,Land,2013,"$13,099","71,171",Black,Black,Automatic,4x4/4-wheel drive
2004 Chevrolet SSR Base,Chevrolet,2004,"$16,989","84,043",Yellow,Black,Automatic,RWD
2016 Maserati Ghibli S Q4,Maserati,2016,"$31,990","33,612",Black,Other,Automatic,AWD
2014 Cadillac XTS Luxury,Cadillac,2014,"$12,999","82,729",Blue,Gray,Automatic,AWD
2015 Acura RLX Technology Package,Acura,2015,"$17,499","56,023",Gray,Gray,Automatic,FWD
2017 Hyundai Santa Fe Sport 2.4L,Hyundai,2017,"$17,997","25,824",Black,Gray,Automatic,AWD
2008 BMW Z4 3.0si,BMW,2008,"$15,000","78,733",Black,Black,Manual,RWD
2006 Volkswagen New Beetle 2.5,Volkswagen,2006,"$5,900","113,417",Beige,Beige,Automatic,FWD
2007 Jeep Commander Sport,Jeep,2007,"$4,500","175,174",Red,Gray,Automatic,4x4/4-wheel drive
2009 Cadillac DTS 1SE,Cadillac,2009,"$7,495","90,607",Black,Black,Automatic,FWD
2010 Ford Transit Connect XLT,Ford,2010,"$6,999","105,589",White,Gray,Automatic,FWD
2016 Hyundai Genesis 3.8,Hyundai,2016,"$27,900","13,854",Gray,White,Automatic,AWD
2008 Volvo S40 2.4i,Volvo,2008,"$5,499","105,037",Blue,Beige,Automatic,FWD
2014 Acura ILX 2.0L Technology,Acura,2014,"$12,697","58,240",White,Gray,Automatic,FWD
2014 Dodge Dart GT,Dodge,2014,"$10,697","52,285",Red,Black,Automatic,FWD
2019 Buick Enclave Essence,Buick,2019,"$29,721","24,677",White,Gray,Automatic,AWD
2019 Acura MDX Sport Hybrid 3.0L w/Technology Package,Acura,2019,"$35,911","33,177",White,Other,Automatic,AWD
2019 Buick Enclave Essence,Buick,2019,"$29,722","23,664",Gray,Gray,Automatic,AWD
2007 Chevrolet Cobalt LT,Chevrolet,2007,"$4,495","77,285",Red,Gray,Automatic,FWD
2017 Audi S3 2.0T Premium Plus,Audi,2017,"$30,995","20,092",Blue,Black,Automatic,AWD
2016 Acura ILX 2.4L,Acura,2016,"$18,485","19,826",Blue,Black,Automatic,FWD
2006 Mercedes-Benz R 350 4MATIC,Mercedes-Benz,2006,"$6,750","138,272",Silver,Black,Automatic,AWD
2017 Genesis G80 3.8,Genesis,2017,"$23,990","22,443",Silver,Black,Automatic,RWD
2018 FIAT 500L Trekking,FIAT,2018,"$15,990","32,227",Brown,Black,Automatic,FWD
2012 Ford Focus Electric Base,Ford,2012,"$9,990","58,218",White,Gray,Automatic,FWD
2008 Volkswagen Touareg 2 V6,Volkswagen,2008,"$6,995","111,526",Gray,Gray,Automatic,AWD
2017 Audi TTS 2.0T quattro,Audi,2017,"$35,985","23,985",Gray,Red,Automatic,AWD
2015 Jeep Renegade Limited,Jeep,2015,"$15,905","29,839",Red,Black,Automatic,4x4/4-wheel drive
2018 Toyota Sienna LE,Toyota,2018,"$23,914","16,398",Silver,Gray,Automatic,FWD
2018 Audi S5 3.0T Prestige,Audi,2018,"$44,900","20,649",White,Red,Automatic,AWD
2008 Dodge Grand Caravan SE,Dodge,2008,"$4,995","101,062",Red,Gray,Automatic,FWD
2013 Hyundai Sonata SE,Hyundai,2013,"$11,995","28,935",Black,Black,Automatic,FWD
2018 Volkswagen Golf SportWagen TSI SE,Volkswagen,2018,"$19,500","3,100",Black,Black,Automatic,FWD
2016 Honda Odyssey EX-L,Honda,2016,"$21,999","27,468",Blue,Gray,Automatic,FWD
2017 Mercedes-Benz AMG C 43 C43C4,Mercedes-Benz,2017,"$39,000","27,795",Black,Other,Automatic,AWD
2019 GMC Acadia SLT-1,GMC,2019,"$25,499","21,222",Gray,Black,Automatic,AWD
2017 Genesis G90 5.0L Ultimate,Genesis,2017,"$38,988","28,858",Brown,Black,Automatic,AWD
2016 Jaguar XJ XJL Portfolio,Jaguar,2016,"$28,900","60,183",Green,Other,Automatic,AWD
2015 Nissan Altima 2.5 SV,Nissan,2015,"$10,990","59,113",Gray,Gray,CVT,FWD
2019 Jeep Compass Limited,Jeep,2019,"$19,991","17,202",Gray,Black,Automatic,4x4/4-wheel drive
2006 Dodge Dakota SLT,Dodge,2006,"$5,991","85,823",Blue,Gray,Automatic,4x4/4-wheel drive
2017 Chevrolet Equinox LT,Chevrolet,2017,"$16,250","28,764",Silver,Black,Automatic,AWD
2018 Nissan Sentra SV,Nissan,2018,"$9,991","41,160",Black,Gray,Automatic,FWD
2019 Hyundai Santa Fe XL Limited Ultimate,Hyundai,2019,"$30,888","20,009",White,Gray,Automatic,AWD
2017 Nissan Maxima 3.5 SV,Nissan,2017,"$15,500","48,657",Gray,Black,CVT,FWD
2018 Dodge Grand Caravan SE,Dodge,2018,"$12,691","64,655",Black,Gray,Automatic,FWD
2011 Mazda CX-7 s Touring,Mazda,2011,"$7,995","48,964",Black,Black,Automatic,FWD
2019 Nissan Altima 2.5 SR,Nissan,2019,"$19,436","3,820",Black,Blue,CVT,FWD
2013 Hyundai Sonata GLS,Hyundai,2013,"$8,930","59,830",Gray,Gray,Automatic,FWD
2011 Chevrolet Malibu LTZ,Chevrolet,2011,"$7,995","53,197",Red,Brown,Automatic,FWD
2008 Saab 9-3 Aero,Saab,2008,"$11,990","57,895",Blue,Beige,Manual,FWD
2010 Dodge Grand Caravan SE,Dodge,2010,"$8,990","89,917",White,Gray,Automatic,FWD
2017 Audi Q3 2.0T Premium Plus,Audi,2017,"$22,797","24,772",Gray,Black,Automatic,AWD
2010 Land Rover LR4 HSE,Land,2010,"$14,990","104,295",Black,Black,Automatic,4x4/4-wheel drive
2015 Mercedes-Benz ML 350 4MATIC,Mercedes-Benz,2015,"$20,500","74,123",White,Black,Automatic,AWD
2011 Land Rover LR4 Base,Land,2011,"$13,990","101,505",White,Black,Automatic,4x4/4-wheel drive
2001 Ford Ranger XLT,Ford,2001,"$5,300","65,000",Red,Gray,Automatic,4x4/4-wheel drive
2017 BMW 430 Gran Coupe i xDrive,BMW,2017,"$25,493","28,628",White,Black,Automatic,AWD
2017 INFINITI QX30 Premium,INFINITI,2017,"$21,300","35,703",Gray,Other,Automatic,AWD
2013 Mercedes-Benz GLK 350 4MATIC,Mercedes-Benz,2013,"$15,990","79,083",Red,Beige,Automatic,AWD
2018 Toyota Avalon XLE Plus,Toyota,2018,"$22,980","10,308",White,Black,Automatic,FWD
2019 GMC Acadia SLE-2,GMC,2019,"$23,980","11,004",Silver,Black,Automatic,AWD
2017 Subaru Forester 2.5i Premium,Subaru,2017,"$20,500","27,442",Blue,Gray,CVT,AWD
2016 Jaguar XJ XJL Portfolio,Jaguar,2016,"$34,995","15,956",Black,Black,Automatic,AWD
2017 BMW X5 eDrive xDrive40e,BMW,2017,"$32,995","36,935",White,Black,Automatic,AWD
2015 Chrysler 200 C,Chrysler,2015,"$10,498","48,392",White,Black,Automatic,FWD
2013 Nissan Versa 1.6 SV,Nissan,2013,"$4,495","110,097",Blue,Black,CVT,FWD
2015 Toyota Venza XLE,Toyota,2015,"$13,997","73,340",Gray,Gray,Automatic,AWD
2015 Mitsubishi Mirage DE,Mitsubishi,2015,"$5,797","62,576",Gray,Black,CVT,FWD
2017 Ford Transit-350 XLT,Ford,2017,"$23,297","30,088",White,Gray,Automatic,RWD
2016 Ford Transit-150 XL,Ford,2016,"$21,497","31,896",Black,Gray,Automatic,RWD
2009 MINI Cooper,MINI,2009,"$8,975","21,421",Red,Black,Automatic,FWD
2019 Ford Expedition Max XLT,Ford,2019,"$36,975","24,400",Blue,Black,Automatic,4x4/4-wheel drive
2007 Jeep Commander Sport,Jeep,2007,"$6,990","127,278",Blue,Gray,Automatic,4x4/4-wheel drive
2013 Chevrolet Avalanche LTZ,Chevrolet,2013,"$21,497","85,327",Silver,Black,Automatic,4x4/4-wheel drive
2013 Chevrolet Impala LTZ,Chevrolet,2013,"$8,121","71,177",Red,Black,Automatic,FWD
2017 Genesis G80 3.8,Genesis,2017,"$25,494","34,493",White,Beige,Automatic,AWD
2019 Chrysler Pacifica Touring-L,Chrysler,2019,"$22,990","28,170",Gray,Black,Automatic,FWD
2009 Buick Enclave CXL,Buick,2009,"$6,990","105,937",Gold,Beige,Automatic,AWD
2014 Ford Expedition Limited,Ford,2014,"$19,490","70,972",White,Beige,Automatic,4x4/4-wheel drive
2015 Lincoln Navigator Base,Lincoln,2015,"$25,490","58,371",Beige,Black,Automatic,4x4/4-wheel drive
2017 Chevrolet Bolt EV Premier,Chevrolet,2017,"$25,995","16,715",Silver,Gray,Automatic,FWD
2017 Subaru WRX Premium,Subaru,2017,"$21,998","31,333",White,Black,CVT,AWD
2011 Nissan Maxima SV,Nissan,2011,"$7,999","115,075",Silver,Black,CVT,FWD
2018 Subaru BRZ Limited,Subaru,2018,"$23,998","2,803",Gray,Black,Automatic,RWD
2019 Subaru Ascent Premium 7-Passenger,Subaru,2019,"$29,998","2,297",Gray,Black,CVT,AWD
2019 Subaru Ascent Limited 7-Passenger,Subaru,2019,"$32,998","5,585",White,Black,CVT,AWD
2019 Subaru Crosstrek Hybrid Base,Subaru,2019,"$32,998","3,221",Gray,Blue,CVT,AWD
2018 Subaru Impreza Limited,Subaru,2018,"$19,998","7,131",Blue,Black,CVT,AWD
2019 Subaru Ascent Premium 7-Passenger,Subaru,2019,"$30,998","18,566",White,Black,CVT,AWD
2019 Subaru Ascent Premium 7-Passenger,Subaru,2019,"$31,498","3,886",Red,White,CVT,AWD
